ID_ANSSI,Titre_ANSSI,Type,Date_publication,CVE_ID,CVSS_score,Base_Severity,CWE,CWE_description,EPSS_score,Lien_bulletin,Description,Editeur,Produit,Versions_affectees
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4573,4.1,MEDIUM,CWE-90,CWE-90: Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),0.000220000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392/,"Mattermost versions 10.7.x <= 10.7.1, 10.6.x <= 10.6.3, 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly validate LDAP group ID attributes, allowing an authenticated administrator with PermissionSysconsoleWriteUserManagementGroups permission to execute LDAP search filter injection via the PUT /api/v4/ldap/groups/{remote_id}/link API when objectGUID is configured as the Group ID Attribute.",Mattermost,Mattermost,"10.7.0, 10.6.0, 10.5.0, 9.11.0"
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4128,3.1,LOW,CWE-863,CWE-863: Incorrect Authorization,0.000210000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392/,"Mattermost versions 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly restrict API access to team information, allowing guest users to bypass permissions and view information about public teams they are not members of via a direct API call to /api/v4/teams/{team_id}.",Mattermost,Mattermost,"10.5.0, 9.11.0"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43004,5.3,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000920000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Due to a security misconfiguration vulnerability, customers can develop Production Operator Dashboards (PODs) that enable outside users to access customer data when they access these dashboards. Since no mechanisms exist to enforce authentication, malicious unauthenticated users can view non-sensitive customer information. However, this does not affect data integrity or availability.",SAP_SE,SAP Digital Manufacturing (Production Operator Dashboard),CTNR-DME-PODFOUNDATION-MS 1.0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43011,7.7,HIGH,CWE-862,CWE-862: Missing Authorization,0.000320000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Under certain conditions, SAP Landscape Transformation's PCL Basis module does not perform the necessary authorization checks, allowing authenticated users to access restricted functionalities or data. This can lead to a high impact on confidentiality with no impact on the integrity or availability of the application.",SAP_SE,SAP Landscape Transformation (PCL Basis),"DMIS 2011_1_700, 2011_1_710, 2011_1_730, 2011_1_731, 2018_1_752, 2020, S4CORE 102, 103, 104, 105, 106, 107, 108"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30009,6.1,MEDIUM,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation,0.000800000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"he Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to execute malicious script in the victim�s browser. This vulnerability has low impact on confidentiality and integrity within the scope of that victim�s browser, with no effect on availability of the application",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31324,10.0,CRITICAL,CWE-434,CWE-434: Unrestricted Upload of File with Dangerous Type,0.809970000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver Visual Composer Metadata Uploader is not protected with a proper authorization, allowing unauthenticated agent to upload potentially malicious executable binaries that could severely harm the host system. This could significantly affect the confidentiality, integrity, and availability of the targeted system.",SAP_SE,SAP NetWeaver (Visual Composer development server),VCFRAMEWORK 7.50
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30012,3.9,LOW,CWE-502,CWE-502: Deserialization of Untrusted Data,0.000510000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM stack to accept binary Java objects in specific encoding format. On successful exploitation, an authenticated attacker with high privileges could send malicious payload request and receive an outbound DNS request, resulting in deserialization of data in the application. This vulnerability has low impact on confidentiality, integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43008,5.8,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000340000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Due to missing authorization check, an unauthorized user can view the files of other company. This might lead to disclosure of personal data of employees. There is no impact on integrity and availability.",SAP_SE,SAP S/4HANA HCM Portugal and SAP ERP HCM Portugal,"S4HCMCPT 100, 101, SAP_HRCPT 600, 604, 608"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43003,6.4,MEDIUM,CWE-749,CWE-749: Exposed Dangerous Method or Function,0.000460000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP S/4 HANA allows an authenticated attacker with user privileges to configure a field not intended for their access and create a custom UI layout displaying this field. On performing this step the attacker could gain access to highly sensitive information. This could cause a high impact on confidentiality and minimal impact on integrity and availability of the application.,SAP_SE,SAP S/4HANA (Private Cloud & On-Premise),"S4CRM 204, 205, 206, S4CEXT 107, 108, BBPCRM 702, 712, 713, 714"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-23191,3.1,LOW,CWE-644,CWE-644: Improper Neutralization of HTTP Headers for Scripting Syntax,0.000390000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,Cached values belonging to the SAP OData endpoint in SAP Fiori for SAP ERP could be poisoned by modifying the Host header value in an HTTP GET request. An attacker could alter the `atom:link` values in the returned metadata redirecting them from the SAP server to a malicious link set by the attacker. Successful exploitation could cause low impact on integrity of the application.,SAP_SE,SAP Fiori for SAP ERP,"SAP_GWFND 740, 750, 751, 752, 753, 754, 755, 756, 757, 758"
